,Bigram,Count,Frequency
60,АР,4,8.016289099450082e-06
61,РІ,2,4.008144549725041e-06
62,ІВ,2,4.008144549725041e-06
63,ВН,2,4.008144549725041e-06
64,"
Н",126,0.0002525131066326776
65,На,302,0.0006052298270084812
66,ад,1951,0.003909945008256778
67,дв,687,0.0013767976528305517
68,ор,2548,0.005106376156349702
69,рі,1416,0.0028377663412053294
70,ів,1898,0.003803729177689064
71,ве,1397,0.0027996889679829415
72,ес,1325,0.0026553957641928397
73,сн,467,0.0009359017523607971
74,ав,4850,0.009719750533083224
75,вп,493,0.0009880076315072228
76,іК,16,3.206515639780033e-05
77,Ку,35,7.014252962018822e-05
78,уд,1115,0.0022345405864717103
79,ди,2353,0.004715582062751511
80,ин,3071,0.006154505956102801
81,не,4450,0.008918121623138217
82,ег,369,0.0007395026694242701
83,гл,553,0.001108251967998974
84,ля,1728,0.003463036890962436
85,ян,896,0.0017956487582768185
86,нь,641,0.0012846103281868757
87,ь—,232,0.0004649447677681048
88,—с,267,0.000535087297388293
89,ск,1082,0.002168406201401247
90,кр,1185,0.0023748256457120868
91,із,857,0.00171748993955718
92,зь,147,0.00029459862440479054
93,ьр,82,0.0001643339265387267
94,ро,4510,0.009038365959629969
95,оз,1877,0.0037616436599169512
96,зв,487,0.0009759831978580476
97,ер,3284,0.006581373350648518
98,ну,2004,0.004016160838824491
99,ул,1343,0.002691469065140365
100,ло,3634,0.0072827986468504
101,ос,3219,0.006451108652782454
102,ся,3301,0.0066154425793211805
103,яр,140,0.0002805701184807529
104,зп,344,0.0006894008625527071
105,пу,354,0.0007094415853013324
106,ус,1115,0.0022345405864717103
107,ст,3769,0.007553348403956841
108,ти,4161,0.008338944735702949
109,ил,2177,0.004362865342375707
110,яз,499,0.0010000320651563977
111,за,3313,0.006639491446619531
112,ац,318,0.0006372949834062816
113,цв,26,5.2105879146425536e-05
114,ві,3172,0.006356917255863915
115,іл,1813,0.0036333830343257497
116,оп,1530,0.003066230580539657
117,пи,1093,0.002190450996424735
118,иш,450,0.0009018325236881343
119,шн,418,0.0008377022108925336
120,им,1962,0.0039319898032802655
121,мц,31,6.212624052073814e-05
122,іт,1426,0.0028578070639539545
123,то,3148,0.006308819521267215
124,ом,2863,0.005737658922931397
125,мЯ,11,2.2044795023487728e-05
126,Яс,10,2.0040722748625208e-05
127,со,857,0.00171748993955718
128,он,2585,0.005180526830519616
129,нц,209,0.0004188511054462668
130,це,707,0.001416879098327802
131,ет,1266,0.002537155499975951
132,те,1620,0.0032465970852772834
133,еп,1328,0.002661407981017427
134,пл,514,0.0010300931492793356
135,ле,834,0.0016713962772353422
136,ей,687,0.0013767976528305517
137,йп,496,0.0009940198483318102
138,пр,2346,0.004701553556827474
139,ри,2826,0.005663508248761483
140,зн,1057,0.002118304394529684
141,ещ,204,0.0004088307440719542
142,ще,559,0.0011202764016481491
143,ен,2317,0.00464343546085646
144,вс,2242,0.004493130040241771
145,сп,786,0.0015752008080419412
146,пі,1199,0.0024028826575601624
147,ал,4451,0.008920125695413079
148,ож,1112,0.002228528369647123
149,жи,867,0.0017375306623058054
150,ит,3265,0.00654329597742613
151,ип,1165,0.0023347442002148366
152,па,1279,0.002563208439549164
153,лю,907,0.0018176935533003062
154,юч,428,0.0008577429336411588
155,чи,1921,0.003849822840010902
156,их,1234,0.0024730251871803504
157,хс,101,0.00020241129976111458
158,лі,1309,0.0026233306077950397
159,ід,1815,0.003637391178875475
160,ді,1497,0.003000096195469193
161,аз,1990,0.003988103826976416
162,зе,422,0.0008457184999919837
163,ем,1254,0.002513106632677601
164,мл,319,0.0006392990556811441
165,юя,42,8.417103554422587e-05
166,кн,485,0.0009719750533083225
167,аВ,64,0.00012826062559120131
168,Ве,49,9.819954146826351e-05
169,ел,1079,0.0021623939845766597
170,ик,1209,0.0024229233803087875
171,кд,129,0.00025852532345726516
172,де,1282,0.0025692206563737515
173,ьд,243,0.0004869895627915925
174,вч,416,0.0008336940663428086
175,ак,2555,0.0051204046622737405
176,ра,2933,0.005877943982171773
177,су,441,0.0008837958732143716
178,ує,305,0.0006112420438330688
179,єт,387,0.0007755759703717955
180,ьс,1105,0.0022144998637230852
181,яв,793,0.0015892293139659788
182,св,1062,0.002128324755903997
183,ої,866,0.001735526590030943
184,їм,262,0.0005250669360139804
185,мр,89,0.00017836243246276433
186,зк,278,0.0005571320924117807
187,кі,773,0.0015491478684687284
188,іш,469,0.0009399098969105221
189,ім,551,0.0011042438234492489
190,му,1301,0.0026072980295961394
191,уб,489,0.0009799913424077726
192,бр,852,0.0017074695781828676
193,нн,420,0.0008417103554422587
194,іП,64,0.00012826062559120131
195,По,439,0.0008797877286646466
196,е—,324,0.0006493194170554567
197,—щ,71,0.00014228913151523897
198,що,1648,0.003302711108973434
199,об,2980,0.005972135379090311
200,бе,765,0.0015331152902698284
201,ез,1122,0.0022485690923957483
202,ає,1051,0.0021062799608805092
203,єм,127,0.0002545171789075401
204,мо,2244,0.004497138184791497
205,ль,1306,0.0026173183909704517
206,ьк,1888,0.003783688454940439
207,ки,2953,0.005918025427669024
208,из,859,0.0017214980841069052
209,зг,247,0.0004950058518910426
210,еш,234,0.0004689529123178298
211,ш—,43,8.617510781908838e-05
212,—р,54,0.00010821990284257612
213,зі,202,0.00040482259952222916
214,іс,1206,0.0024169111634842
215,йк,228,0.0004569284786686547
216,ма,2193,0.004394930498773508
217,аж,982,0.0019679989739149954
218,жс,69,0.0001382809869655139
219,см,300,0.0006012216824587562
220,мі,883,0.0017695958187036057
221,іє,208,0.0004168470331714043
222,оч,1611,0.0032285604348035206
223,ча,837,0.0016774084940599297
224,ах,829,0.0016613759158610297
225,хН,12,2.4048867298350248e-05
226,дн,1133,0.002270613887419236
227,мс,317,0.0006352909111314191
228,си,1168,0.002340756417039424
229,мш,20,4.0081445497250416e-05
230,ша,388,0.0007775800426466581
231,ат,3961,0.007938130280730444
232,тр,1639,0.0032846744584996714
233,іп,1912,0.0038317861895371397
234,пя,178,0.00035672486492552865
235,ял,423,0.0008477225722668462
236,сь,2295,0.004599345870809485
237,ьн,505,0.001012056498805573
238,еб,1174,0.002352780850688599
239,бо,1278,0.0025612043672743013
240,о—,433,0.0008677632950154715
241,—н,353,0.0007074375130264698
242,ям,390,0.000781588187196383
243,чк,540,0.0010821990284257611
244,іх,363,0.000727478235775095
245,хм,87,0.0001743542879130393
246,ич,628,0.001258557388613663
247,ис,2756,0.005523223189521107
248,зо,387,0.0007755759703717955
249,—п,476,0.0009539384028345599
250,ог,3776,0.007567376909880878
251,яд,569,0.0011403171243967742
252,дт,120,0.00024048867298350247
253,та,5349,0.010719782598239623
254,еЗ,16,3.206515639780033e-05
255,Зн,61,0.00012224840876661375
256,ая,397,0.0007956166931204207
257,зт,213,0.0004268673945457169
258,от,2481,0.004972103313933914
259,лл,49,9.819954146826351e-05
260,лє,17,3.406922867266285e-05
261,юб,173,0.00034670450355121606
262,бл,344,0.0006894008625527071
263,ку,2015,0.004038205633847979
264,уч,349,0.0006994212239270197
265,йс,494,0.0009900117037820852
266,тс,75,0.00015030542061468904
267,ця,375,0.0007515271030734453
268,хг,56,0.00011222804739230115
269,гр,523,0.0010481297997530982
270,єс,80,0.00016032578198900166
271,ня,862,0.0017275103009314929
272,яч,277,0.0005551280201369182
273,чн,167,0.00033468006990204093
274,хв,185,0.0003707533708495663
275,ви,2756,0.005523223189521107
276,яп,390,0.000781588187196383
277,дх,54,0.00010821990284257612
278,ею,193,0.0003867859490484665
279,юс,162,0.00032465970852772833
280,єх,20,4.0081445497250416e-05
281,хл,349,0.0006994212239270197
282,бс,71,0.00014228913151523897
283,ка,4338,0.008693665528353614
284,до,2891,0.005793772946627547
285,яЛ,24,4.8097734596700496e-05
286,Ле,58,0.0001162361919420262
287,ге,258,0.0005170506469145303
288,йв,266,0.0005330832251134305
289,ец,159,0.0003186474917031408
290,ць,533,0.0010681705225017235
291,ьп,325,0.0006513234893303192
292,од,4123,0.008262789989258173
293,ха,1404,0.002813717473906979
294,вз,404,0.0008096451990444583
295,го,4675,0.009369037884982284
296,ок,1660,0.003326759976271784
297,аю,608,0.0012184759431164126
298,юп,191,0.00038277780449874144
299,пе,1212,0.002428935597133375
300,бі,1139,0.002282638321068411
301,іг,425,0.0008517307168165712
302,га,1032,0.0020682025876581213
303,ив,3344,0.006701617687140269
304,вк,529,0.0010601542334022734
305,уж,615,0.0012325044490404502
306,ьо,513,0.0010280890770044732
307,іж,341,0.0006833886457281196
308,жа,461,0.000923877318711622
309,ко,3794,0.007603450210828404
310,жн,341,0.0006833886457281196
311,би,1137,0.0022786301765186858
312,нк,542,0.0010862071729754862
313,уІ,18,3.607330094752537e-05
314,Ів,98,0.00019639908293652702
315,ед,1276,0.0025571962227245765
316,ду,1535,0.003076250941913969
317,ою,1017,0.0020381415035351834
318,ют,480,0.0009619546919340099
319,ху,287,0.0005751687428855434
320,мн,446,0.0008938162345886842
321,ур,663,0.0013286999182338512
322,зм,219,0.000438891828194892
323,чу,569,0.0011403171243967742
324,тн,366,0.0007334904525996825
325,но,2654,0.00531880781748513
326,ті,1554,0.003114328315136357
327,ше,489,0.0009799913424077726
328,тж,27,5.410995142128806e-05
329,иц,728,0.001458964616099915
330,ці,804,0.0016112741089894665
331,іА,41,8.216696326936335e-05
332,Аз,26,5.2105879146425536e-05
333,еж,413,0.000827681849518221
334,ай,1551,0.0031083160983117696
335,ва,3075,0.006162522245202251
336,яг,373,0.0007475189585237202
337,кс,426,0.0008537347890914338
338,ср,18,3.607330094752537e-05
339,бн,156,0.0003126352748785532
340,йд,467,0.0009359017523607971
341,дз,114,0.00022846423933432734
342,ін,1991,0.003990107899251279
343,чо,809,0.0016212944703637793
344,к—,123,0.00024650088980809003
345,—т,430,0.0008617510781908839
346,мт,190,0.0003807737322238789
347,иг,459,0.000919869174161897
348,вв,340,0.000681384573453257
349,Пе,90,0.00018036650473762686
350,єй,50,0.00010020361374312603
351,йо,1320,0.0026453754028185274
352,кз,203,0.0004068266717970917
353,ір,732,0.001466980905199365
354,рв,186,0.00037275744312442884
355,вш,452,0.0009058406682378593
356,ши,842,0.0016874288554342425
357,ьу,228,0.0004569284786686547
358,уг,693,0.0013888220864797269
359,ру,1662,0.0033307681208215095
360,уз,434,0.0008697673672903339
361,аг,861,0.0017255062286566302
362,лу,675,0.0013527487855322015
363,уш,544,0.0010902153175252113
364,єд,88,0.00017635836018790182
365,сю,147,0.00029459862440479054
366,юр,85,0.00017034614336331426
367,рч,53,0.00010621583056771359
368,ят,1069,0.0021423532618280346
369,вя,248,0.0004970099241659051
370,хк,55,0.00011022397511743864
371,вщ,134,0.00026854568483157776
372,оя,513,0.0010280890770044732
373,я—,358,0.0007174578744007824
374,—і,232,0.0004649447677681048
375,се,1431,0.002867827425328267
376,зл,268,0.0005370913696631555
377,уп,938,0.0018798197938210443
378,ьч,79,0.00015832170971413913
379,йг,186,0.00037275744312442884
380,нв,63,0.0001262565533163388
381,вр,218,0.0004368877559200295
382,вд,690,0.0013828098696551392
383,шу,200,0.0004008144549725041
384,зб,240,0.00048097734596700494
385,бу,1457,0.0029199333044746924
386,рк,347,0.0006954130793772946
387,єв,101,0.00020241129976111458
388,ій,848,0.0016994532890834174
389,ьщ,92,0.0001843746492873519
390,щи,129,0.00025852532345726516
391,ьл,66,0.00013226877014092637
392,оГ,65,0.00013026469786606384
393,Га,297,0.0005952094656341687
394,оН,48,9.619546919340099e-05
395,рц,270,0.0005410995142128806
396,ум,906,0.0018156894810254438
397,мк,274,0.0005491158033123307
398,ун,679,0.0013607650746316514
399,зу,415,0.000831689994067946
400,кл,440,0.0008817918009395091
401,ид,1335,0.0026754364869414652
402,ія,284,0.0005691565260609559
403,яо,105,0.00021042758886056468
404,бг,19,3.807737322238789e-05
405,рт,385,0.0007715678258220705
406,ми,1673,0.003352812915844997
407,ам,2324,0.004657463966780498
408,иб,701,0.001404854664678627
409,иХ,58,0.0001162361919420262
410,Хо,109,0.00021844387796001474
411,че,883,0.0017695958187036057
412,са,788,0.0015792089525916663
413,йл,68,0.0001362769146906514
414,єш,165,0.0003306719253523159
415,шк,325,0.0006513234893303192
416,ущ,147,0.00029459862440479054
417,ща,297,0.0005952094656341687
418,тя,589,0.0011803985698940246
419,яН,46,9.218732464367595e-05
420,Не,443,0.0008878040177640967
421,да,2021,0.004050230067497154
422,мв,141,0.0002825741907556154
423,вт,489,0.0009799913424077726
424,у—,320,0.0006413031279560067
425,—а,78,0.0001563176374392766
426,аб,1187,0.002378833790261812
427,яа,89,0.00017836243246276433
428,ке,279,0.0005591361646866432
429,—х,86,0.00017235021563817676
430,хо,1348,0.002701489426514678
431,дя,297,0.0005952094656341687
432,ех,283,0.0005671524537860934
433,ао,332,0.0006653519952543568
434,бд,56,0.00011222804739230115
435,вл,314,0.0006292786943068315
436,"ь
",227,0.0004549244063937922
437,"

",1,2.0040722748625205e-06
438,"
О",86,0.00017235021563817676
439,От,169,0.000338688214451766
440,їс,157,0.00031463934715341574
441,ме,886,0.0017756080355281934
442,оо,301,0.0006032257547336187
443,шл,386,0.000773571898096933
444,ях,163,0.00032666378080259086
445,мщ,46,9.218732464367595e-05
446,ьг,95,0.00019038686611193945
447,дю,26,5.2105879146425536e-05
448,юк,142,0.00028457826303047794
449,аП,106,0.00021243166113542718
450,Пі,225,0.00045091626184406714
451,жд,193,0.0003867859490484665
452,ьР,4,8.016289099450082e-06
453,Ро,70,0.00014028505924037644
454,—й,46,9.218732464367595e-05
455,йш,422,0.0008457184999919837
456,шо,368,0.0007374985971494076
457,вм,189,0.0003787696599490164
458,йч,120,0.00024048867298350247
459,ік,794,0.0015912333862408415
460,кН,16,3.206515639780033e-05
461,—к,257,0.0005150465746396678
462,аш,462,0.0009258813909864845
463,и—,574,0.0011503374857710867
464,ач,939,0.001881823866095907
465,їв,138,0.0002765619739310278
466,чі,532,0.001066166450226861
467,і—,380,0.0007615474644477578
468,—о,289,0.0005791768874352684
469,дм,100,0.00020040722748625205
470,дс,284,0.0005691565260609559
471,иЧ,110,0.00022044795023487727
472,Че,45,9.018325236881343e-05
473,йз,332,0.0006653519952543568
474,пк,1083,0.0021704102736761098
475,зр,224,0.0004489121895692046
476,хи,421,0.0008437144277171212
477,яю,61,0.00012224840876661375
478,оц,243,0.0004869895627915925
479,ув,2178,0.00436486941465057
480,"у
",302,0.0006052298270084812
481,Іш,11,2.2044795023487728e-05
482,рш,237,0.0004749651291424174
483,д—,37,7.415067416991327e-05
484,же,1478,0.0029620188222468057
485,тд,47,9.419139691853848e-05
486,дц,58,0.0001162361919420262
487,тк,356,0.0007134497298510573
488,яЧ,116,0.0002324723838840524
489,Чо,157,0.00031463934715341574
490,ух,528,0.001058150161127411
491,хт,371,0.0007435108139739952
492,ищ,405,0.0008116492713193209
493,рх,57,0.00011423211966716367
494,хн,235,0.00047095698459269234
495,гу,507,0.001016064643355298
496,ек,509,0.001020072787905023
497,ьм,286,0.000573164670610681
498,яб,161,0.0003226556362528658
499,йб,281,0.0005631443092363683
500,гд,52,0.00010421175829285107
501,ьт,250,0.0005010180687156302
502,ея,154,0.0003086271303288282
503,кп,307,0.0006152501883827939
504,сс,49,9.819954146826351e-05
505,Ні,176,0.00035271672037580365
506,йт,396,0.0007936126208455582
507,ох,917,0.0018377342760489315
508,іо,167,0.00033468006990204093
509,жг,11,2.2044795023487728e-05
510,вг,377,0.0007555352476231702
511,ту,1102,0.0022084876468984977
512,еч,552,0.0011062478957241113
513,іО,38,7.615474644477578e-05
514,Оц,45,9.018325236881343e-05
515,йу,125,0.0002505090343578151
516,аТ,96,0.00019239093838680199
517,Та,636,0.0012745899668125632
518,хп,131,0.0002625334680069902
519,бк,56,0.00011222804739230115
520,ой,749,0.001501050133872028
521,хх,32,6.413031279560066e-05
522,хО,8,1.6032578198900164e-05
523,Од,126,0.0002525131066326776
524,вц,91,0.0001823705770124894
525,еа,60,0.00012024433649175123
526,—д,182,0.0003647411540249788
527,лк,198,0.0003968063104227791
528,дб,112,0.0002244560947846023
529,йя,83,0.0001663379988135892
530,кб,161,0.0003226556362528658
531,аН,84,0.00016834207108845173
532,Ни,10,2.0040722748625208e-05
533,яя,105,0.00021042758886056468
534,йн,494,0.0009900117037820852
535,ьі,105,0.00021042758886056468
536,іц,60,0.00012024433649175123
537,мз,216,0.0004328796113703045
538,зя,292,0.000585189104259856
539,ьх,46,9.218732464367595e-05
540,иж,270,0.0005410995142128806
541,жо,131,0.0002625334680069902
542,"ю
",149,0.0002986067689545156
543,мп,276,0.0005531239478620556
544,ук,795,0.0015932374585157039
545,зи,325,0.0006513234893303192
546,ги,326,0.0006533275616051817
547,ио,329,0.0006593397784297693
548,аі,69,0.0001382809869655139
549,яй,224,0.0004489121895692046
550,яТ,68,0.0001362769146906514
551,То,261,0.0005230628637391179
552,уй,200,0.0004008144549725041
553,дь,180,0.0003607330094752537
554,гі,228,0.0004569284786686547
555,еО,34,6.81384573453257e-05
556,Ос,109,0.00021844387796001474
557,др,553,0.001108251967998974
558,йм,272,0.0005451076587626056
559,дл,151,0.0003026149135042406
560,іу,58,0.0001162361919420262
561,лц,12,2.4048867298350248e-05
562,юж,29,5.81180959710131e-05
563,жі,230,0.00046093662321837974
564,жз,64,0.00012826062559120131
565,хж,16,3.206515639780033e-05
566,рО,3,6.012216824587562e-06
567,мг,91,0.0001823705770124894
568,рб,142,0.00028457826303047794
569,км,82,0.0001643339265387267
570,мд,139,0.00027856604620589035
571,дк,406,0.0008136533435941834
572,оО,49,9.819954146826351e-05
573,Ож,43,8.617510781908838e-05
574,ащ,429,0.0008597470059160214
575,щі,76,0.00015230949288955157
576,жп,85,0.00017034614336331426
577,м—,161,0.0003226556362528658
578,тм,26,5.2105879146425536e-05
579,ощ,364,0.0007294823080499576
580,щп,2,4.008144549725041e-06
581,вЗ,22,4.4089590046975456e-05
582,"
С",68,0.0001362769146906514
583,Сп,41,8.216696326936335e-05
584,ош,321,0.0006433072002308691
585,иО,73,0.000146297276064964
586,єї,79,0.00015832170971413913
587,їн,125,0.0002505090343578151
588,кж,84,0.00016834207108845173
589,юО,13,2.6052939573212768e-05
590,яї,89,0.00017836243246276433
591,нс,274,0.0005491158033123307
592,юн,161,0.0003226556362528658
593,ю—,169,0.000338688214451766
594,сБ,1,2.0040722748625205e-06
595,Ба,95,0.00019038686611193945
596,жу,372,0.0007455148862488577
597,аК,36,7.214660189505074e-05
598,Ка,83,0.0001663379988135892
599,оє,222,0.0004449040450194796
600,вй,116,0.0002324723838840524
601,—л,43,8.617510781908838e-05
602,ео,234,0.0004689529123178298
603,кт,229,0.0004589325509435172
604,"е
",222,0.0004449040450194796
605,а—,605,0.001212463726291825
606,—ч,76,0.00015230949288955157
607,єн,92,0.0001843746492873519
608,зз,132,0.00026453754028185275
609,єВ,12,2.4048867298350248e-05
610,Ві,183,0.00036674522629984125
611,нп,148,0.00029660269667965307
612,аї,198,0.0003968063104227791
613,ші,245,0.0004909977073413175
614,аГ,86,0.00017235021563817676
615,Го,73,0.000146297276064964
616,гн,282,0.0005651483815112308
617,зх,121,0.000242492745258365
618,сі,662,0.0013266958459589888
619,дд,161,0.0003226556362528658
620,хр,144,0.00028858640758020295
621,уя,99,0.00019840315521138955
622,"м
",122,0.0002444968175332275
623,йЙ,2,4.008144549725041e-06
624,Йо,43,8.617510781908838e-05
625,зд,582,0.001166370063969987
626,—в,224,0.0004489121895692046
627,нз,125,0.0002505090343578151
628,уУ,29,5.81180959710131e-05
629,Уй,6,1.2024433649175124e-05
630,хз,96,0.00019239093838680199
631,юв,227,0.0004549244063937922
632,вх,224,0.0004489121895692046
633,оХ,51,0.00010220768601798856
634,Хт,89,0.00017836243246276433
635,бц,16,3.206515639780033e-05
636,н—,96,0.00019239093838680199
637,"с
",17,3.406922867266285e-05
638,гс,27,5.410995142128806e-05
639,пн,57,0.00011423211966716367
640,її,301,0.0006032257547336187
641,їб,31,6.212624052073814e-05
642,дг,57,0.00011423211966716367
643,юу,18,3.607330094752537e-05
644,оЩ,11,2.2044795023487728e-05
645,Ще,48,9.619546919340099e-05
646,ьб,147,0.00029459862440479054
647,рс,146,0.000292594552129928
648,ьЩ,14,2.805701184807529e-05
649,зж,53,0.00010621583056771359
650,ьП,45,9.018325236881343e-05
651,вД,18,3.607330094752537e-05
652,Ді,77,0.0001543135651644141
653,мч,70,0.00014028505924037644
654,вж,420,0.0008417103554422587
655,иН,108,0.00021643980568515224
656,кв,293,0.0005871931765347186
657,тч,42,8.417103554422587e-05
658,сх,113,0.00022646016705946484
659,кч,44,8.817918009395091e-05
660,хі,130,0.0002605293957321277
661,хд,93,0.00018637872156221442
662,тМ,10,2.0040722748625208e-05
663,Ма,357,0.0007154538021259198
664,шв,77,0.0001543135651644141
665,йж,88,0.00017635836018790182
666,жв,74,0.00014830134833982654
667,еу,46,9.218732464367595e-05
668,мж,44,8.817918009395091e-05
669,вї,86,0.00017235021563817676
670,їз,106,0.00021243166113542718
671,уц,58,0.0001162361919420262
672,ца,90,0.00018036650473762686
673,йр,158,0.00031664341942827827
674,гш,18,3.607330094752537e-05
675,"
Д",64,0.00012826062559120131
676,иі,73,0.000146297276064964
677,аО,63,0.0001262565533163388
678,Оз,2,4.008144549725041e-06
679,ау,117,0.0002344764561589149
680,мм,76,0.00015230949288955157
681,мТ,26,5.2105879146425536e-05
682,Ту,38,7.615474644477578e-05
683,тї,5,1.0020361374312604e-05
684,їк,30,6.012216824587562e-05
685,кЧ,23,4.609366232183797e-05
686,ря,786,0.0015752008080419412
687,оа,100,0.00020040722748625205
688,мя,153,0.00030662305805396567
689,іч,553,0.001108251967998974
690,—з,275,0.0005511198755871932
691,иД,34,6.81384573453257e-05
692,Дв,12,2.4048867298350248e-05
693,иС,81,0.00016232985426386417
694,Са,42,8.417103554422587e-05
695,Зе,11,2.2044795023487728e-05
696,зч,67,0.00013427284241578888
697,вб,196,0.00039279816587305404
698,сд,18,3.607330094752537e-05
699,иї,177,0.0003547207926506662
700,їд,119,0.00023848460070863996
701,—у,108,0.00021643980568515224
702,"и
",597,0.0011964311480929248
703,"
В",80,0.00016032578198900166
704,Во,173,0.00034670450355121606
705,ое,25,5.010180687156301e-05
706,юд,561,0.0011242845461978742
707,юН,28,5.611402369615058e-05
708,еї,223,0.0004469081172943421
709,"ї
",20,4.0081445497250416e-05
710,"
—",2333,0.004675500617254261
711,—Ч,194,0.00038879002132332903
712,тх,45,9.018325236881343e-05
713,"а
",481,0.0009639587642088724
714,—А,319,0.0006392990556811441
715,Ат,194,0.00038879002132332903
716,бт,80,0.00016032578198900166
717,"н
",28,5.611402369615058e-05
718,—Х,111,0.0002224520225097398
719,тв,410,0.0008216696326936335
720,йх,109,0.00021844387796001474
721,"б
",5,1.0020361374312604e-05
722,—Н,318,0.0006372949834062816
723,еА,37,7.415067416991327e-05
724,Ащ,75,0.00015030542061468904
725,"о
",351,0.0007034293684767448
726,—Ц,25,5.010180687156301e-05
727,Цу,3,6.012216824587562e-06
728,в—,209,0.0004188511054462668
729,"в
",208,0.0004168470331714043
730,—Д,137,0.00027455790165616535
731,Де,97,0.00019439501066166452
732,ую,192,0.00038478187677360397
733,іщ,262,0.0005250669360139804
734,Ач,37,7.415067416991327e-05
735,жт,168,0.00033668414217690346
736,тт,183,0.00036674522629984125
737,Чу,42,8.417103554422587e-05
738,Ап,42,8.417103554422587e-05
739,уА,34,6.81384573453257e-05
740,—С,102,0.0002044153720359771
741,Сю,4,8.016289099450082e-06
742,—П,123,0.00024650088980809003
743,тп,53,0.00010621583056771359
744,"я
",345,0.0006914049348275696
745,"
Я",37,7.415067416991327e-05
746,Як,304,0.0006092379715582063
747,уС,36,7.214660189505074e-05
748,Да,87,0.0001743542879130393
749,з—,17,3.406922867266285e-05
750,сц,73,0.000146297276064964
751,яС,49,9.819954146826351e-05
752,Ст,154,0.0003086271303288282
753,їт,84,0.00016834207108845173
754,дї,20,4.0081445497250416e-05
755,їй,135,0.0002705497571064403
756,йщ,69,0.0001382809869655139
757,—м,98,0.00019639908293652702
758,Ув,15,3.006108412293781e-05
759,хй,4,8.016289099450082e-06
760,їг,35,7.014252962018822e-05
761,йї,27,5.410995142128806e-05
762,їп,86,0.00017235021563817676
763,уу,52,0.00010421175829285107
764,їл,48,9.619546919340099e-05
765,иу,113,0.00022646016705946484
766,юз,117,0.0002344764561589149
767,дж,104,0.00020842351658570215
768,ьй,54,0.00010821990284257612
769,аЩ,17,3.406922867266285e-05
770,Що,243,0.0004869895627915925
771,Чи,148,0.00029660269667965307
772,яІ,26,5.2105879146425536e-05
773,рл,116,0.0002324723838840524
774,гм,7,1.4028505924037644e-05
775,чс,21,4.208551777211293e-05
776,єХ,10,2.0040722748625208e-05
777,аХ,62,0.00012425248104147628
778,дХ,5,1.0020361374312604e-05
779,яА,47,9.419139691853848e-05
780,Ав,93,0.00018637872156221442
781,аЧ,139,0.00027856604620589035
782,бж,11,2.2044795023487728e-05
783,ьз,305,0.0006112420438330688
784,аБ,23,4.609366232183797e-05
785,Бу,47,9.419139691853848e-05
786,оД,32,6.413031279560066e-05
787,иа,180,0.0003607330094752537
788,юл,45,9.018325236881343e-05
789,шс,64,0.00012826062559120131
790,иП,117,0.0002344764561589149
791,юо,48,9.619546919340099e-05
792,нх,24,4.8097734596700496e-05
793,їх,399,0.0007996248376701458
794,ії,83,0.0001663379988135892
795,нт,167,0.00033468006990204093
796,юх,76,0.00015230949288955157
797,хш,10,2.0040722748625208e-05
798,вА,23,4.609366232183797e-05
799,еі,20,4.0081445497250416e-05
