,Trigram,Count,Frequency
65,"НА
",2,4.008152582352505e-06
66,"А
Н",3,6.012228873528758e-06
67,"
На",54,0.00010822011972351763
68,Над,52,0.00010421196714116514
69,адв,102,0.00020441578169997775
70,дво,238,0.0004769701572999481
71,вор,308,0.0006172554976822857
72,орі,249,0.0004990149965028869
73,рів,151,0.0003026155199676141
74,іве,53,0.00010621604343234138
75,вес,231,0.00046294162326171435
76,есн,67,0.0001342731115088089
77,сна,33,6.613451760881634e-05
78,нав,534,0.001070176739488119
79,авп,131,0.00026253399414408906
80,впо,186,0.000372758190158783
81,ніК,5,1.0020381455881263e-05
82,іКу,1,2.0040762911762524e-06
83,Куд,17,3.406929694999629e-05
84,уди,264,0.0005290761408705307
85,дин,324,0.0006493207183411058
86,ине,560,0.0011222827230587013
87,нег,65,0.0001302649589264564
88,егл,34,6.813859389999258e-05
89,гля,306,0.0006132473450999333
90,лян,303,0.0006072351162264045
91,янь,16,3.206522065882004e-05
92,нь—,23,4.609375469705381e-05
93,ь—с,14,2.8057068076467534e-05
94,—ск,72,0.00014429349296469018
95,скр,152,0.0003046195962587904
96,крі,137,0.00027455845189114657
97,різ,168,0.0003366848169176104
98,ізь,112,0.00022445654461174027
99,зьр,2,4.008152582352505e-06
100,ьро,42,8.41712042294026e-05
101,роз,776,0.001555163201952772
102,озв,121,0.00024249323123232656
103,зве,83,0.00016633833216762897
104,вер,468,0.0009379077042704862
105,ерн,262,0.0005250679882881781
106,рну,233,0.0004669497758440668
107,нул,424,0.0008497283474587311
108,уло,393,0.0007876019824322672
109,лос,685,0.001372792259455733
110,ося,290,0.0005811821244411132
111,сяр,43,8.617528052057886e-05
112,яро,44,8.817935681175511e-05
113,озп,100,0.00020040762911762526
114,зпу,22,4.4089678405877553e-05
115,пус,203,0.00040682748710877927
116,уст,325,0.0006513247946322821
117,сти,406,0.0008136549742175585
118,тил,181,0.0003627378087029017
119,ило,260,0.0005210598357058257
120,сяз,228,0.0004569293943881856
121,яза,163,0.0003266644354617292
122,зац,42,8.41712042294026e-05
123,ацв,8,1.603261032941002e-05
124,цві,21,4.20856021147013e-05
125,віл,91,0.00018237094249703897
126,іло,223,0.0004469090129323043
127,лоп,221,0.0004429008603499518
128,опи,183,0.0003667459612852542
129,пиш,37,7.415082277352134e-05
130,ишн,27,5.4110059861758815e-05
131,шни,37,7.415082277352134e-05
132,ним,366,0.0007334919225705084
133,имц,8,1.603261032941002e-05
134,мцв,5,1.0020381455881263e-05
135,віт,494,0.0009900136878410687
136,іто,174,0.00034870927466466796
137,том,180,0.00036073373241172547
138,омЯ,6,1.2024457747057515e-05
139,мЯс,2,4.008152582352505e-06
140,Ясн,2,4.008152582352505e-06
141,сне,38,7.61548990646976e-05
142,нес,376,0.0007535326854822709
143,есо,40,8.01630516470501e-05
144,сон,112,0.00022445654461174027
145,онц,77,0.00015431387442057143
146,нце,58,0.00011623642488822264
147,цет,59,0.00011824050117939889
148,ете,155,0.00031063182513231915
149,теп,340,0.0006813859389999258
150,епл,60,0.00012024457747057515
151,пле,96,0.00019239132395292024
152,лей,5,1.0020381455881263e-05
153,ейп,55,0.00011022419601469389
154,йпр,99,0.000198403552826449
155,при,769,0.0015411346679145381
156,рия,18,3.6073373241172546e-05
157,ияз,13,2.6052991785291284e-05
158,язн,54,0.00010822011972351763
159,зне,91,0.00018237094249703897
160,нещ,18,3.6073373241172546e-05
161,еще,49,9.819973826763637e-05
162,щен,74,0.00014830164554704268
163,ене,600,0.0012024457747057515
164,нев,511,0.001024082984791065
165,евс,87,0.00017435463733233398
166,всп,41,8.216712793822635e-05
167,спі,110,0.00022044839202938778
168,піл,48,9.619566197646012e-05
169,лон,152,0.0003046195962587904
170,она,840,0.001683424084588052
171,нал,254,0.0005090353779587681
172,ало,549,0.0011002378838557627
173,лож,82,0.0001643342558764527
174,ожи,225,0.00045091716551465684
175,жит,276,0.0005531250563646457
176,ити,865,0.0017335259918674585
177,тип,134,0.0002685462230176178
178,ипа,138,0.00027656252818232286
179,пал,292,0.0005851902770234658
180,алю,162,0.0003246603591705529
181,люч,23,4.609375469705381e-05
182,ючи,389,0.0007795856772675622
183,чих,21,4.20856021147013e-05
184,ихс,49,9.819973826763637e-05
185,хсл,5,1.0020381455881263e-05
186,слі,62,0.00012425273005292766
187,лід,101,0.0002024117054088015
188,іді,79,0.00015832202700292395
189,дів,323,0.0006473166420499296
190,івн,142,0.00028457883334702784
191,вна,270,0.0005411005986175882
192,наз,236,0.00047296200471759557
193,азе,70,0.00014028534038233766
194,зем,280,0.0005611413615293506
195,емл,250,0.0005010190727940631
196,млю,105,0.0002104280105735065
197,люя,8,1.603261032941002e-05
198,юяк,35,7.014267019116883e-05
199,якн,103,0.000206419857991154
200,кна,128,0.0002565217652705603
201,наВ,10,2.0040762911762526e-05
202,аВе,4,8.01630516470501e-06
203,Вел,7,1.4028534038233767e-05
204,ели,305,0.000611243268808757
205,лик,201,0.00040281933452642675
206,икд,11,2.2044839202938777e-05
207,кде,20,4.008152582352505e-05
208,ден,282,0.0005651495141117032
209,ень,384,0.000769565295811681
210,ньд,12,2.404891549411503e-05
211,ьді,13,2.6052991785291284e-05
212,івч,146,0.0002925951385117329
213,вчи,159,0.00031864813029702414
214,чин,350,0.0007014267019116884
215,ина,798,0.0015992528803586495
216,нак,174,0.00034870927466466796
217,акр,161,0.00032265628287937666
218,кра,278,0.0005571332089469982
219,рас,85,0.00017034648474998146
220,асу,107,0.00021443616315585903
221,сує,7,1.4028534038233767e-05
222,уєт,46,9.218750939410761e-05
223,єть,266,0.0005330842934528832
224,тьс,858,0.0017194974578292246
225,ься,775,0.0015531591256615956
226,сяв,239,0.0004789742335911243
227,яво,60,0.00012024457747057515
228,вон,888,0.0017796197465645121
229,авс,730,0.0014629756925586643
230,всв,85,0.00017034648474998146
231,сво,576,0.0011543479437175215
232,вої,286,0.0005731658192764083
233,оїм,168,0.0003366848169176104
234,їмр,7,1.4028534038233767e-05
235,мро,45,9.018343310293137e-05
236,озк,166,0.00033267666433525793
237,зкі,20,4.008152582352505e-05
238,кіш,18,3.6073373241172546e-05
239,ішн,35,7.014267019116883e-05
240,шні,41,8.216712793822635e-05
241,нім,120,0.0002404891549411503
242,іму,19,3.80774495323488e-05
243,муб,50,0.00010020381455881263
244,убр,32,6.413044131764008e-05
245,бра,433,0.0008677650340793173
246,ран,157,0.00031463997771467167
247,анн,168,0.0003366848169176104
248,нні,64,0.00012826088263528015
249,ніП,13,2.6052991785291284e-05
250,іПо,24,4.809783098823006e-05
251,Пол,48,9.619566197646012e-05
252,оле,112,0.00022445654461174027
253,ле—,4,8.01630516470501e-06
254,е—щ,8,1.603261032941002e-05
255,—що,50,0.00010020381455881263
256,щоб,282,0.0005651495141117032
257,обе,66,0.00013226903521763267
258,без,210,0.000420856021147013
259,езк,13,2.6052991785291284e-05
260,зкр,29,5.811821244411132e-05
261,рає,49,9.819973826763637e-05
262,аєм,55,0.00011022419601469389
263,ємо,79,0.00015832202700292395
264,мор,97,0.0001943954002440965
265,оре,59,0.00011824050117939889
266,ре—,17,3.406929694999629e-05
267,е—с,19,3.80774495323488e-05
268,скі,50,0.00010020381455881263
269,кіл,87,0.00017435463733233398
270,іль,664,0.0013307066573410317
271,льк,563,0.0011282949519322303
272,ьки,679,0.0013607678017086755
273,киз,120,0.0002404891549411503
274,изг,44,8.817935681175511e-05
275,згл,28,5.611413615293507e-05
276,яне,168,0.0003366848169176104
277,неш,35,7.014267019116883e-05
278,еш—,16,3.206522065882004e-05
279,ш—р,2,4.008152582352505e-06
280,—ро,22,4.4089678405877553e-05
281,озі,72,0.00014429349296469018
282,зіс,9,1.8036686620586273e-05
283,ісл,123,0.00024650138381467903
284,лал,66,0.00013226903521763267
285,лоз,72,0.00014429349296469018
286,озе,51,0.00010220789084998888
287,зел,61,0.0001222486537617514
288,еле,139,0.0002785666044734991
289,лен,193,0.0003867867241970167
290,ени,217,0.0004348845551852468
291,ийк,57,0.0001142323485970464
292,йки,37,7.415082277352134e-05
293,кил,27,5.4110059861758815e-05
294,или,829,0.0016613792453851134
295,лим,116,0.0002324728497764453
296,има,269,0.0005390965223264119
297,маж,16,3.206522065882004e-05
298,ажс,25,5.0101907279406314e-05
299,жсм,3,6.012228873528758e-06
300,смі,166,0.00033267666433525793
301,міє,26,5.210598357058257e-05
302,ієт,41,8.216712793822635e-05
303,воч,45,9.018343310293137e-05
304,оча,138,0.00027656252818232286
305,чах,35,7.014267019116883e-05
306,ахН,5,1.0020381455881263e-05
307,хНа,6,1.2024457747057515e-05
308,адн,40,8.01630516470501e-05
309,дни,161,0.00032265628287937666
310,имс,85,0.00017034648474998146
311,мси,5,1.0020381455881263e-05
312,син,226,0.00045292124180583307
313,ині,228,0.0004569293943881856
314,імш,2,4.008152582352505e-06
315,мша,2,4.008152582352505e-06
316,шат,26,5.210598357058257e-05
317,атр,105,0.0002104280105735065
318,тро,292,0.0005851902770234658
319,ром,351,0.0007034307782028647
320,омр,18,3.6073373241172546e-05
321,зіп,12,2.404891549411503e-05
322,іпя,19,3.80774495323488e-05
323,пял,9,1.8036686620586273e-05
324,яло,37,7.415082277352134e-05
325,ось,410,0.0008216712793822635
326,сьн,173,0.0003467051983734917
327,ьне,119,0.00023848507864997404
328,неб,322,0.0006453125657587533
329,ебо,53,0.00010621604343234138
330,бо—,7,1.4028534038233767e-05
331,о—н,45,9.018343310293137e-05
332,—ні,65,0.0001302649589264564
333,ніп,125,0.00025050953639703155
334,іпл,24,4.809783098823006e-05
335,пля,61,0.0001222486537617514
336,лям,44,8.817935681175511e-05
337,ямо,95,0.00019038724766174398
338,моч,27,5.4110059861758815e-05
339,очк,226,0.00045292124180583307
340,чки,163,0.0003266644354617292
341,кин,391,0.0007835938298499148
342,ніх,84,0.0001683424084588052
343,іхм,10,2.0040762911762526e-05
344,хма,32,6.413044131764008e-05
345,мар,101,0.0002024117054088015
346,аро,447,0.0008958221021557849
347,роч,68,0.00013627718779998517
348,кич,26,5.210598357058257e-05
349,ичи,99,0.000198403552826449
350,чис,218,0.00043688863147642304
351,ист,510,0.0010220789084998889
352,сте,141,0.0002825747570558516
353,епр,239,0.0004789742335911243
354,про,969,0.0019419499261497887
355,озо,53,0.00010621604343234138
356,зор,30,6.0122288735287576e-05
357,е—п,47,9.419158568528386e-05
358,—по,149,0.00029860736738526164
359,пог,178,0.00035672557982937295
360,огл,139,0.0002785666044734991
361,ляд,216,0.0004328804788940705
362,ядт,3,6.012228873528758e-06
363,дта,30,6.0122288735287576e-05
364,так,1138,0.0022806388193585755
365,акі,175,0.0003507133509558442
366,кіт,24,4.809783098823006e-05
367,тон,168,0.0003366848169176104
368,оне,469,0.0009399117805616624
369,неЗ,3,6.012228873528758e-06
370,еЗн,1,2.0040762911762524e-06
371,Зне,8,1.603261032941002e-05
372,еба,264,0.0005290761408705307
373,бая,11,2.2044839202938777e-05
374,аяк,239,0.0004789742335911243
375,якр,67,0.0001342731115088089
376,кро,108,0.00021644023944703526
377,озт,48,9.619566197646012e-05
378,зто,82,0.0001643342558764527
379,топ,119,0.00023848507864997404
380,опл,58,0.00011623642488822264
381,нез,388,0.000777581600976386
382,езо,33,6.613451760881634e-05
383,зол,29,5.811821244411132e-05
384,оло,1420,0.0028457883334702784
385,лот,175,0.0003507133509558442
386,ото,355,0.0007114470833675696
387,тол,81,0.00016233017958527644
388,олл,4,8.01630516470501e-06
389,ллє,10,2.0040762911762526e-05
390,лєт,7,1.4028534038233767e-05
391,сян,275,0.0005511209800734694
392,яна,312,0.0006252718028469908
393,люб,130,0.0002605299178529128
394,юбл,10,2.0040762911762526e-05
395,бли,109,0.00021844431573821152
396,лис,745,0.001493036836926308
397,иск,122,0.0002444973075235028
398,ску,58,0.00011623642488822264
399,куч,49,9.819973826763637e-05
400,учи,127,0.00025451768897938407
401,чий,67,0.0001342731115088089
402,ийс,140,0.0002805706807646753
403,йсв,46,9.218750939410761e-05
404,сві,333,0.000667357404961692
405,ітс,14,2.8057068076467534e-05
406,тсо,6,1.2024457747057515e-05
407,нця,45,9.018343310293137e-05
408,цян,27,5.4110059861758815e-05
409,ала,1303,0.002611311407402657
410,лан,223,0.0004469090129323043
411,нах,124,0.0002485054601058553
412,ахг,7,1.4028534038233767e-05
413,хгр,9,1.8036686620586273e-05
414,гра,73,0.00014629756925586644
415,аєс,30,6.0122288735287576e-05
416,єсо,5,1.0020381455881263e-05
417,оня,45,9.018343310293137e-05
418,няч,20,4.008152582352505e-05
419,ячн,9,1.8036686620586273e-05
420,чна,32,6.413044131764008e-05
421,ахв,47,9.419158568528386e-05
422,хви,56,0.00011222827230587014
423,вил,244,0.0004889946150470056
424,иля,58,0.00011623642488822264
425,ляп,43,8.617528052057886e-05
426,япі,54,0.00010822011972351763
427,під,559,0.0011202786467675251
428,ідх,27,5.4110059861758815e-05
429,дхв,7,1.4028534038233767e-05
430,иле,23,4.609375469705381e-05
431,лею,47,9.419158568528386e-05
432,еюс,8,1.603261032941002e-05
433,юсп,9,1.8036686620586273e-05
434,піє,4,8.01630516470501e-06
435,ієх,1,2.0040762911762524e-06
436,єхл,3,6.012228873528758e-06
437,хлі,183,0.0003667459612852542
438,ліб,198,0.000396807105652898
439,ібо,90,0.00018036686620586273
440,бор,128,0.0002565217652705603
441,оро,1050,0.0021042801057350653
442,роб,490,0.0009819973826763638
443,обс,50,0.00010020381455881263
444,бсь,10,2.0040762911762526e-05
445,ськ,470,0.0009419158568528387
446,ька,244,0.0004889946150470056
447,кад,78,0.0001563179507117477
448,адо,333,0.000667357404961692
449,дол,128,0.0002565217652705603
450,оля,120,0.0002404891549411503
451,ляЛ,3,6.012228873528758e-06
452,яЛе,3,6.012228873528758e-06
453,Лег,7,1.4028534038233767e-05
454,еге,37,7.415082277352134e-05
455,ген,125,0.00025050953639703155
456,ньк,236,0.00047296200471759557
457,кий,441,0.0008837976444087273
458,ийв,89,0.00017836278991468647
459,йві,76,0.0001523097981293952
460,ітр,64,0.00012826088263528015
461,тре,279,0.0005591372852381745
462,рец,16,3.206522065882004e-05
463,ець,109,0.00021844431573821152
464,цьп,26,5.210598357058257e-05
465,ьпо,126,0.00025251361268820784
466,под,421,0.0008437161185852023
467,оди,980,0.0019639947653527275
468,дих,44,8.817935681175511e-05
469,иха,142,0.00028457883334702784
470,хав,142,0.00028457883334702784
471,авз,108,0.00021644023944703526
472,взт,6,1.2024457747057515e-05
473,зте,22,4.4089678405877553e-05
474,пло,41,8.216712793822635e-05
475,лог,67,0.0001342731115088089
476,ого,2988,0.005988179958034643
477,гок,68,0.00013627718779998517
478,окр,152,0.0003046195962587904
479,раю,41,8.216712793822635e-05
480,аюп,11,2.2044839202938777e-05
481,юпе,8,1.603261032941002e-05
482,пер,981,0.0019659988416439035
483,ере,997,0.0019980640623027237
484,реб,225,0.00045091716551465684
485,ебі,50,0.00010020381455881263
486,біг,148,0.00029660329109408535
487,іга,86,0.00017235056104115772
488,гав,54,0.00010822011972351763
489,взн,18,3.6073373241172546e-05
490,зни,99,0.000198403552826449
491,нив,138,0.00027656252818232286
492,ивк,59,0.00011824050117939889
493,вки,41,8.216712793822635e-05
494,нан,234,0.0004689538521352431
495,ани,319,0.0006393003368852246
496,вку,136,0.00027255437559997034
497,куж,26,5.210598357058257e-05
498,ужи,120,0.0002404891549411503
499,жив,227,0.0004549253180970093
500,иви,411,0.0008236753556734398
501,вит,291,0.0005831862007322895
502,ить,768,0.001539130591623362
503,тьо,65,0.0001302649589264564
504,ьос,10,2.0040762911762526e-05
505,осв,140,0.0002805706807646753
506,віж,27,5.4110059861758815e-05
507,іжа,16,3.206522065882004e-05
508,жав,58,0.00011623642488822264
509,авк,146,0.0002925951385117329
510,вко,131,0.00026253399414408906
511,кож,110,0.00022044839202938778
512,ожн,206,0.000412839715982308
513,жну,12,2.404891549411503e-05
514,нуб,15,3.0061144367643788e-05
515,уби,75,0.00015030572183821894
516,бил,176,0.00035271742724702043
517,лин,319,0.0006393003368852246
518,инк,136,0.00027255437559997034
519,нку,123,0.00024650138381467903
520,куІ,5,1.0020381455881263e-05
521,уІв,5,1.0020381455881263e-05
522,Іве,2,4.008152582352505e-06
523,вед,96,0.00019239132395292024
524,еду,131,0.00026253399414408906
525,дут,80,0.0001603261032941002
526,они,452,0.0009058424836116661
527,имі,64,0.00012826088263528015
528,між,74,0.00014830164554704268
529,іжс,25,5.0101907279406314e-05
530,жсо,17,3.406929694999629e-05
531,соб,309,0.000619259573973462
532,обо,324,0.0006493207183411058
533,бою,109,0.00021844431573821152
534,оют,48,9.619566197646012e-05
535,юти,13,2.6052991785291284e-05
536,тих,282,0.0005651495141117032
537,иху,26,5.210598357058257e-05
538,хут,66,0.00013226903521763267
539,ута,173,0.0003467051983734917
540,тає,176,0.00035271742724702043
541,ємн,5,1.0020381455881263e-05
542,мну,25,5.0101907279406314e-05
543,нур,38,7.61548990646976e-05
544,уро,116,0.0002324728497764453
545,озм,76,0.0001523097981293952
546,змо,97,0.0001943954002440965
547,мов,700,0.0014028534038233768
548,ову,474,0.0009499321620175437
549,вуч,21,4.20856021147013e-05
550,учу,34,6.813859389999258e-05
551,чут,104,0.00020842393428233027
552,утн,81,0.00016233017958527644
553,тно,59,0.00011824050117939889
554,нот,91,0.00018237094249703897
555,оті,231,0.00046294162326171435
556,тіл,511,0.001024082984791065
557,киш,28,5.611413615293507e-05
558,ише,58,0.00011623642488822264
559,шел,13,2.6052991785291284e-05
560,лес,29,5.811821244411132e-05
561,ест,315,0.0006312840317205195
562,стж,2,4.008152582352505e-06
563,тжи,4,8.01630516470501e-06
564,ита,751,0.0015050612946733656
565,тат,197,0.00039480302936172176
566,тра,296,0.0005932065821881707
567,рав,575,0.0011523438674263453
568,ави,406,0.0008136549742175585
569,виц,31,6.212636502646383e-05
570,иці,138,0.00027656252818232286
571,ціА,4,8.01630516470501e-06
572,іАз,1,2.0040762911762524e-06
573,Азг,2,4.008152582352505e-06
574,зго,106,0.00021243208686468277
575,гор,567,0.0011363112570969352
576,ори,171,0.00034269704579113915
577,рил,156,0.0003126359014234954
578,неж,48,9.619566197646012e-05
579,ежа,63,0.00012625680634410392
580,жай,4,8.01630516470501e-06
581,айв,58,0.00011623642488822264
582,йво,54,0.00010822011972351763
583,рон,130,0.0002605299178529128
584,онк,26,5.210598357058257e-05
585,нко,126,0.00025251361268820784
586,ков,294,0.0005891984296058182
587,ова,583,0.0011683764777557551
588,вап,31,6.212636502646383e-05
589,апі,152,0.0003046195962587904
590,піс,77,0.00015431387442057143
591,існ,88,0.00017635871362351021
592,сня,14,2.8057068076467534e-05
593,няд,7,1.4028534038233767e-05
594,ядо,160,0.0003206522065882004
595,дон,70,0.00014028534038233766
596,оно,234,0.0004689538521352431
597,нос,149,0.00029860736738526164
598,оси,234,0.0004689538521352431
599,сит,74,0.00014830164554704268
600,сяг,68,0.00013627718779998517
601,яго,40,8.01630516470501e-05
602,гол,598,0.001198437622123399
603,сяк,140,0.0002805706807646753
604,якс,117,0.00023447692606762155
605,кср,1,2.0040762911762524e-06
606,срі,12,2.404891549411503e-05
607,ріб,49,9.819973826763637e-05
608,ібн,34,6.813859389999258e-05
609,бни,14,2.8057068076467534e-05
610,ийд,173,0.0003467051983734917
611,йдз,4,8.01630516470501e-06
612,дзв,29,5.811821244411132e-05
613,зві,111,0.00022245246832056401
614,він,758,0.0015190898287115993
615,іно,132,0.00026453807043526535
616,ноч,83,0.00016633833216762897
617,очо,120,0.0002404891549411503
618,чок,41,8.216712793822635e-05
619,ок—,35,7.014267019116883e-05
620,к—т,13,2.6052991785291284e-05
621,—тр,32,6.413044131764008e-05
622,рем,93,0.0001863790950793915
623,емт,25,5.0101907279406314e-05
624,мти,9,1.8036686620586273e-05
625,тит,273,0.000547112827491117
626,тьп,111,0.00022245246832056401
627,ьпе,28,5.611413615293507e-05
628,рел,55,0.00011022419601469389
629,лив,597,0.0011964335458322227
630,ива,373,0.0007475204566087421
631,ває,98,0.00019639947653527274
632,аєт,236,0.00047296200471759557
633,зас,263,0.0005270720645793544
634,аст,497,0.0009960259167145975
635,тиг,46,9.218750939410761e-05
636,ига,82,0.0001643342558764527
637,авв,144,0.00028858698592938036
638,ввп,3,6.012228873528758e-06
639,ові,792,0.001587228422611592
640,трі,182,0.00036474188499407794
641,ріП,6,1.2024457747057515e-05
642,іПе,4,8.01630516470501e-06
643,Пер,58,0.00011623642488822264
644,рер,16,3.206522065882004e-05
645,ери,79,0.00015832202700292395
646,рив,284,0.0005691576666940557
647,аєй,34,6.813859389999258e-05
648,єйо,20,4.008152582352505e-05
649,йог,883,0.001769599365108631
650,гоп,217,0.0004348845551852468
651,опе,112,0.00022445654461174027
652,реп,56,0.00011222827230587014
653,епе,370,0.0007415082277352134
654,пел,25,5.0101907279406314e-05
655,еля,97,0.0001943954002440965
656,ляч,41,8.216712793822635e-05
657,ячи,142,0.00028457883334702784
658,йкр,48,9.619566197646012e-05
659,кри,418,0.0008377038897116736
660,рик,199,0.00039881118194407423
661,икз,9,1.8036686620586273e-05
662,кзі,7,1.4028534038233767e-05
663,зір,20,4.008152582352505e-05
664,ірв,33,6.613451760881634e-05
665,рва,64,0.00012826088263528015
666,вав,474,0.0009499321620175437
667,авш,114,0.0002284646971940928
668,вши,425,0.0008517324237499074
669,шис,138,0.00027656252818232286
670,ись,845,0.0016934444660439334
671,сьу,93,0.0001863790950793915
672,ьуг,11,2.2044839202938777e-05
673,уго,250,0.0005010190727940631
674,ору,181,0.0003627378087029017
675,руз,21,4.20856021147013e-05
676,уза,151,0.0003026155199676141
677,заг,164,0.0003286685117529054
678,агл,68,0.00013627718779998517
679,глу,34,6.813859389999258e-05
680,луш,31,6.212636502646383e-05
681,уша,65,0.0001302649589264564
682,шає,19,3.80774495323488e-05
683,аєд,47,9.419158568528386e-05
684,єдо,37,7.415082277352134e-05
685,док,130,0.0002605299178529128
686,оку,147,0.0002945992148029091
687,учн,12,2.404891549411503e-05
688,чне,48,9.619566197646012e-05
689,есю,4,8.01630516470501e-06
690,сюр,7,1.4028534038233767e-05
691,юрч,4,8.01630516470501e-06
692,рча,28,5.611413615293507e-05
693,чан,29,5.811821244411132e-05
694,ння,121,0.00024249323123232656
695,нят,114,0.0002284646971940928
696,ятр,35,7.014267019116883e-05
697,авя,45,9.018343310293137e-05
698,вян,8,1.603261032941002e-05
699,яни,106,0.00021243208686468277
700,них,205,0.00041083563969113174
701,ихк,28,5.611413615293507e-05
702,хко,23,4.609375469705381e-05
703,кон,148,0.00029660329109408535
704,ник,182,0.00036474188499407794
705,икі,53,0.00010621604343234138
706,ків,179,0.0003587296561205492
707,івщ,26,5.210598357058257e-05
708,вщо,98,0.00019639947653527274
709,щоя,41,8.216712793822635e-05
710,ояк,182,0.00036474188499407794
711,кне,117,0.00023447692606762155
712,нер,234,0.0004689538521352431
713,еро,136,0.00027255437559997034
714,рву,3,6.012228873528758e-06
715,ся—,156,0.0003126359014234954
716,я—і,15,3.0061144367643788e-05
717,—ів,27,5.4110059861758815e-05
718,івс,167,0.00033468074062643416
719,все,331,0.0006633492523793396
720,сет,122,0.0002444973075235028
721,тез,20,4.008152582352505e-05
722,езл,28,5.611413615293507e-05
723,зли,63,0.00012625680634410392
724,сяд,142,0.00028457883334702784
725,куп,236,0.00047296200471759557
726,упи,181,0.0003627378087029017
727,пив,186,0.000372758190158783
728,ивя,33,6.613451760881634e-05
729,вяк,94,0.00018838317137056772
730,яки,146,0.0002925951385117329
731,йсь,52,0.00010421196714116514
732,сьч,29,5.811821244411132e-05
733,ьчу,16,3.206522065882004e-05
734,чуд,25,5.0101907279406314e-05
735,удн,49,9.819973826763637e-05
736,ийг,53,0.00010621604343234138
737,йго,94,0.00018838317137056772
738,гом,242,0.00048498646246465313
739,омі,171,0.00034269704579113915
740,мін,81,0.00016233017958527644
741,інв,38,7.61548990646976e-05
742,нвр,1,2.0040762911762524e-06
743,ври,10,2.0040762911762526e-05
744,явд,19,3.80774495323488e-05
745,вду,60,0.00012024457747057515
746,душ,178,0.00035672557982937295
747,ушу,45,9.018343310293137e-05
748,шур,6,1.2024457747057515e-05
749,озб,85,0.00017034648474998146
750,збу,30,6.0122288735287576e-05
751,бур,37,7.415082277352134e-05
752,урк,32,6.413044131764008e-05
753,рку,77,0.00015431387442057143
754,кує,41,8.216712793822635e-05
755,уєв,9,1.8036686620586273e-05
756,євн,4,8.01630516470501e-06
757,ній,149,0.00029860736738526164
758,ійд,46,9.218750939410761e-05
759,йдо,86,0.00017235056104115772
760,доб,436,0.0008737772629528461
761,обр,477,0.0009559443908910725
762,брі,35,7.014267019116883e-05
763,ріс,73,0.00014629756925586644
764,іст,338,0.0006773777864175734
765,сть,178,0.00035672557982937295
766,тьщ,38,7.61548990646976e-05
767,ьщи,5,1.0020381455881263e-05
768,щир,29,5.811821244411132e-05
769,ирі,82,0.0001643342558764527
770,тьл,33,6.613451760881634e-05
771,ьлю,19,3.80774495323488e-05
772,юбо,40,8.01630516470501e-05
773,бов,92,0.00018437501878821523
774,овд,72,0.00014429349296469018
775,вдо,225,0.00045091716551465684
776,дов,320,0.0006413044131764008
777,овс,263,0.0005270720645793544
778,всь,136,0.00027255437559997034
